obj tensor(-3451.8708, grad_fn=<SubBackward0>)
obj tensor(-1001.9467, grad_fn=<SubBackward0>)
obj tensor(-993.5999, grad_fn=<SubBackward0>)
obj tensor(-987.5494, grad_fn=<SubBackward0>)
obj tensor(-1006.9950, grad_fn=<SubBackward0>)
obj tensor(-988.4619, grad_fn=<SubBackward0>)
obj tensor(-986.4912, grad_fn=<SubBackward0>)
obj tensor(-991.0665, grad_fn=<SubBackward0>)
obj tensor(-998.0595, grad_fn=<SubBackward0>)
obj tensor(-1000.9100, grad_fn=<SubBackward0>)
obj tensor(-998.9250, grad_fn=<SubBackward0>)
obj tensor(-991.4504, grad_fn=<SubBackward0>)
obj tensor(-997.2519, grad_fn=<SubBackward0>)
obj tensor(-981.6563, grad_fn=<SubBackward0>)
obj tensor(-982.3118, grad_fn=<SubBackward0>)
obj tensor(-981.2631, grad_fn=<SubBackward0>)
obj tensor(-980.8228, grad_fn=<SubBackward0>)
obj tensor(-976.4642, grad_fn=<SubBackward0>)
obj tensor(-979.3032, grad_fn=<SubBackward0>)
obj tensor(-972.1962, grad_fn=<SubBackward0>)
obj tensor(-978.0009, grad_fn=<SubBackward0>)
obj tensor(-964.7651, grad_fn=<SubBackward0>)
obj tensor(-967.7936, grad_fn=<SubBackward0>)
obj tensor(-980.8764, grad_fn=<SubBackward0>)
obj tensor(-963.0638, grad_fn=<SubBackward0>)
obj tensor(-965.7546, grad_fn=<SubBackward0>)
obj tensor(-969.0065, grad_fn=<SubBackward0>)
obj tensor(-977.9787, grad_fn=<SubBackward0>)
obj tensor(-962.2686, grad_fn=<SubBackward0>)
obj tensor(-965.4894, grad_fn=<SubBackward0>)
obj tensor(-970.4680, grad_fn=<SubBackward0>)
obj tensor(-962.2854, grad_fn=<SubBackward0>)
obj tensor(-964.2274, grad_fn=<SubBackward0>)
obj tensor(-971.0603, grad_fn=<SubBackward0>)
obj tensor(-956.4836, grad_fn=<SubBackward0>)
[iteration 150] time: 0.25 	beta 6.00 	lambda 0.00 training ELBO: -347.0513 (-421.3584)
Active units: 0,2,4,5,8,9
Number of active units: 6/10
obj tensor(-966.3240, grad_fn=<SubBackward0>)
obj tensor(-962.2076, grad_fn=<SubBackward0>)
obj tensor(-955.6491, grad_fn=<SubBackward0>)
obj tensor(-959.4860, grad_fn=<SubBackward0>)
obj tensor(-964.8457, grad_fn=<SubBackward0>)
obj tensor(-948.6788, grad_fn=<SubBackward0>)
obj tensor(-957.9249, grad_fn=<SubBackward0>)
obj tensor(-953.6809, grad_fn=<SubBackward0>)
obj tensor(-944.2334, grad_fn=<SubBackward0>)
obj tensor(-947.2172, grad_fn=<SubBackward0>)
obj tensor(-951.3698, grad_fn=<SubBackward0>)
obj tensor(-957.3482, grad_fn=<SubBackward0>)
obj tensor(-957.6410, grad_fn=<SubBackward0>)
obj tensor(-945.6567, grad_fn=<SubBackward0>)
obj tensor(-952.6866, grad_fn=<SubBackward0>)
obj tensor(-946.4440, grad_fn=<SubBackward0>)
obj tensor(-947.3398, grad_fn=<SubBackward0>)
obj tensor(-941.7931, grad_fn=<SubBackward0>)
obj tensor(-954.6207, grad_fn=<SubBackward0>)
obj tensor(-946.7748, grad_fn=<SubBackward0>)
obj tensor(-935.4282, grad_fn=<SubBackward0>)
obj tensor(-950.3251, grad_fn=<SubBackward0>)
obj tensor(-951.6654, grad_fn=<SubBackward0>)
obj tensor(-947.4600, grad_fn=<SubBackward0>)
obj tensor(-942.7097, grad_fn=<SubBackward0>)
obj tensor(-948.3961, grad_fn=<SubBackward0>)
obj tensor(-941.6145, grad_fn=<SubBackward0>)
obj tensor(-945.6749, grad_fn=<SubBackward0>)
obj tensor(-937.6281, grad_fn=<SubBackward0>)
obj tensor(-939.4884, grad_fn=<SubBackward0>)
obj tensor(-945.4487, grad_fn=<SubBackward0>)
obj tensor(-939.4234, grad_fn=<SubBackward0>)
obj tensor(-937.0391, grad_fn=<SubBackward0>)
obj tensor(-939.0041, grad_fn=<SubBackward0>)
obj tensor(-939.0770, grad_fn=<SubBackward0>)
obj tensor(-938.9182, grad_fn=<SubBackward0>)
obj tensor(-943.3854, grad_fn=<SubBackward0>)
obj tensor(-937.8969, grad_fn=<SubBackward0>)
obj tensor(-934.4725, grad_fn=<SubBackward0>)
obj tensor(-927.9597, grad_fn=<SubBackward0>)
obj tensor(-931.2091, grad_fn=<SubBackward0>)
obj tensor(-937.1147, grad_fn=<SubBackward0>)
obj tensor(-938.5376, grad_fn=<SubBackward0>)
obj tensor(-932.1147, grad_fn=<SubBackward0>)
obj tensor(-931.3607, grad_fn=<SubBackward0>)
obj tensor(-939.5510, grad_fn=<SubBackward0>)
obj tensor(-936.3732, grad_fn=<SubBackward0>)
obj tensor(-925.4393, grad_fn=<SubBackward0>)
obj tensor(-928.8107, grad_fn=<SubBackward0>)
obj tensor(-926.1422, grad_fn=<SubBackward0>)
[iteration 200] time: 0.26 	beta 6.00 	lambda 0.00 training ELBO: -319.0829 (-351.4813)
Active units: 0,3,4,6,9
Number of active units: 5/10
obj tensor(-929.9634, grad_fn=<SubBackward0>)
obj tensor(-921.9775, grad_fn=<SubBackward0>)
obj tensor(-926.6004, grad_fn=<SubBackward0>)
obj tensor(-918.2766, grad_fn=<SubBackward0>)
obj tensor(-926.7380, grad_fn=<SubBackward0>)
obj tensor(-923.9540, grad_fn=<SubBackward0>)
obj tensor(-928.3916, grad_fn=<SubBackward0>)
obj tensor(-925.2721, grad_fn=<SubBackward0>)
obj tensor(-913.6757, grad_fn=<SubBackward0>)
obj tensor(-919.7075, grad_fn=<SubBackward0>)
obj tensor(-920.3178, grad_fn=<SubBackward0>)
obj tensor(-914.8813, grad_fn=<SubBackward0>)
obj tensor(-925.3522, grad_fn=<SubBackward0>)
obj tensor(-909.9887, grad_fn=<SubBackward0>)
obj tensor(-915.9210, grad_fn=<SubBackward0>)
obj tensor(-918.9631, grad_fn=<SubBackward0>)
obj tensor(-922.4515, grad_fn=<SubBackward0>)
obj tensor(-925.2350, grad_fn=<SubBackward0>)
obj tensor(-920.8184, grad_fn=<SubBackward0>)
obj tensor(-913.8371, grad_fn=<SubBackward0>)
obj tensor(-915.1490, grad_fn=<SubBackward0>)
obj tensor(-912.4333, grad_fn=<SubBackward0>)
obj tensor(-901.8253, grad_fn=<SubBackward0>)
obj tensor(-915.5756, grad_fn=<SubBackward0>)
obj tensor(-912.5885, grad_fn=<SubBackward0>)
obj tensor(-914.7072, grad_fn=<SubBackward0>)
obj tensor(-913.0287, grad_fn=<SubBackward0>)
obj tensor(-914.5542, grad_fn=<SubBackward0>)
obj tensor(-910.0870, grad_fn=<SubBackward0>)
obj tensor(-917.3245, grad_fn=<SubBackward0>)
obj tensor(-911.9238, grad_fn=<SubBackward0>)
obj tensor(-918.4526, grad_fn=<SubBackward0>)
obj tensor(-910.6641, grad_fn=<SubBackward0>)
obj tensor(-908.4418, grad_fn=<SubBackward0>)
obj tensor(-911.5648, grad_fn=<SubBackward0>)
obj tensor(-904.2386, grad_fn=<SubBackward0>)
obj tensor(-906.3190, grad_fn=<SubBackward0>)
obj tensor(-920.3248, grad_fn=<SubBackward0>)
obj tensor(-914.5922, grad_fn=<SubBackward0>)
obj tensor(-912.3199, grad_fn=<SubBackward0>)
obj tensor(-911.3524, grad_fn=<SubBackward0>)
obj tensor(-911.3154, grad_fn=<SubBackward0>)
obj tensor(-907.3499, grad_fn=<SubBackward0>)
obj tensor(-904.7573, grad_fn=<SubBackward0>)
obj tensor(-897.5139, grad_fn=<SubBackward0>)
obj tensor(-907.0441, grad_fn=<SubBackward0>)
obj tensor(-905.0594, grad_fn=<SubBackward0>)
obj tensor(-903.3574, grad_fn=<SubBackward0>)
obj tensor(-897.3400, grad_fn=<SubBackward0>)
obj tensor(-907.5018, grad_fn=<SubBackward0>)
[iteration 250] time: 0.25 	beta 6.00 	lambda 0.00 training ELBO: -298.2064 (-313.6239)
Active units: 0,3,5,8
Number of active units: 4/10
obj tensor(-902.8230, grad_fn=<SubBackward0>)
obj tensor(-898.8835, grad_fn=<SubBackward0>)
obj tensor(-899.4243, grad_fn=<SubBackward0>)
obj tensor(-905.9232, grad_fn=<SubBackward0>)
obj tensor(-909.8470, grad_fn=<SubBackward0>)
obj tensor(-905.2100, grad_fn=<SubBackward0>)
obj tensor(-899.7921, grad_fn=<SubBackward0>)
obj tensor(-905.1241, grad_fn=<SubBackward0>)
obj tensor(-906.6172, grad_fn=<SubBackward0>)
obj tensor(-895.1649, grad_fn=<SubBackward0>)
obj tensor(-900.9188, grad_fn=<SubBackward0>)
obj tensor(-894.1266, grad_fn=<SubBackward0>)
obj tensor(-901.9500, grad_fn=<SubBackward0>)
obj tensor(-899.3890, grad_fn=<SubBackward0>)
obj tensor(-900.0533, grad_fn=<SubBackward0>)
obj tensor(-890.7023, grad_fn=<SubBackward0>)
obj tensor(-900.0408, grad_fn=<SubBackward0>)
obj tensor(-892.6703, grad_fn=<SubBackward0>)
obj tensor(-904.9254, grad_fn=<SubBackward0>)
obj tensor(-898.5864, grad_fn=<SubBackward0>)
obj tensor(-899.4100, grad_fn=<SubBackward0>)
obj tensor(-902.4866, grad_fn=<SubBackward0>)
obj tensor(-893.3387, grad_fn=<SubBackward0>)
obj tensor(-906.9359, grad_fn=<SubBackward0>)
obj tensor(-895.2009, grad_fn=<SubBackward0>)
obj tensor(-899.4779, grad_fn=<SubBackward0>)
obj tensor(-894.4381, grad_fn=<SubBackward0>)
obj tensor(-896.7264, grad_fn=<SubBackward0>)
obj tensor(-903.9169, grad_fn=<SubBackward0>)
obj tensor(-900.8306, grad_fn=<SubBackward0>)
obj tensor(-894.3594, grad_fn=<SubBackward0>)
obj tensor(-893.9027, grad_fn=<SubBackward0>)
obj tensor(-889.7943, grad_fn=<SubBackward0>)
obj tensor(-896.2689, grad_fn=<SubBackward0>)
obj tensor(-892.5979, grad_fn=<SubBackward0>)
obj tensor(-891.8980, grad_fn=<SubBackward0>)
obj tensor(-898.8572, grad_fn=<SubBackward0>)
obj tensor(-900.6223, grad_fn=<SubBackward0>)
obj tensor(-890.6586, grad_fn=<SubBackward0>)
obj tensor(-894.5662, grad_fn=<SubBackward0>)
obj tensor(-905.2559, grad_fn=<SubBackward0>)
obj tensor(-903.8641, grad_fn=<SubBackward0>)
obj tensor(-900.0665, grad_fn=<SubBackward0>)
obj tensor(-893.9556, grad_fn=<SubBackward0>)
obj tensor(-895.9858, grad_fn=<SubBackward0>)
obj tensor(-897.0903, grad_fn=<SubBackward0>)
obj tensor(-901.6498, grad_fn=<SubBackward0>)
obj tensor(-905.0214, grad_fn=<SubBackward0>)
obj tensor(-912.9743, grad_fn=<SubBackward0>)
obj tensor(-902.4279, grad_fn=<SubBackward0>)
[iteration 300] time: 0.25 	beta 6.00 	lambda 0.00 training ELBO: -292.9145 (-295.5292)
Active units: 0,1,2,3,5,6,7,8,9
Number of active units: 9/10
obj tensor(-894.9429, grad_fn=<SubBackward0>)
obj tensor(-907.3666, grad_fn=<SubBackward0>)
obj tensor(-900.6292, grad_fn=<SubBackward0>)
obj tensor(-902.0766, grad_fn=<SubBackward0>)
obj tensor(-904.8931, grad_fn=<SubBackward0>)
obj tensor(-895.3741, grad_fn=<SubBackward0>)
obj tensor(-900.6281, grad_fn=<SubBackward0>)
obj tensor(-909.6492, grad_fn=<SubBackward0>)
obj tensor(-903.0353, grad_fn=<SubBackward0>)
obj tensor(-903.1635, grad_fn=<SubBackward0>)
obj tensor(-896.0108, grad_fn=<SubBackward0>)
obj tensor(-895.8596, grad_fn=<SubBackward0>)
obj tensor(-902.1810, grad_fn=<SubBackward0>)
obj tensor(-905.5847, grad_fn=<SubBackward0>)
obj tensor(-893.6981, grad_fn=<SubBackward0>)
obj tensor(-899.3146, grad_fn=<SubBackward0>)
obj tensor(-897.6801, grad_fn=<SubBackward0>)
obj tensor(-898.0409, grad_fn=<SubBackward0>)
obj tensor(-897.7035, grad_fn=<SubBackward0>)
obj tensor(-902.6765, grad_fn=<SubBackward0>)
obj tensor(-896.7603, grad_fn=<SubBackward0>)
obj tensor(-892.0289, grad_fn=<SubBackward0>)
obj tensor(-893.9178, grad_fn=<SubBackward0>)
obj tensor(-900.1565, grad_fn=<SubBackward0>)
obj tensor(-908.9189, grad_fn=<SubBackward0>)
obj tensor(-894.7024, grad_fn=<SubBackward0>)
obj tensor(-886.1254, grad_fn=<SubBackward0>)
obj tensor(-896.3643, grad_fn=<SubBackward0>)
obj tensor(-887.3258, grad_fn=<SubBackward0>)
obj tensor(-888.2913, grad_fn=<SubBackward0>)
obj tensor(-888.8129, grad_fn=<SubBackward0>)
obj tensor(-894.5361, grad_fn=<SubBackward0>)
obj tensor(-893.2217, grad_fn=<SubBackward0>)
obj tensor(-894.5026, grad_fn=<SubBackward0>)
obj tensor(-895.4549, grad_fn=<SubBackward0>)
obj tensor(-893.8640, grad_fn=<SubBackward0>)
obj tensor(-893.5265, grad_fn=<SubBackward0>)
obj tensor(-898.7052, grad_fn=<SubBackward0>)
obj tensor(-890.6451, grad_fn=<SubBackward0>)
obj tensor(-897.3032, grad_fn=<SubBackward0>)
obj tensor(-892.3860, grad_fn=<SubBackward0>)
obj tensor(-893.6501, grad_fn=<SubBackward0>)
obj tensor(-899.6950, grad_fn=<SubBackward0>)
obj tensor(-898.1995, grad_fn=<SubBackward0>)
obj tensor(-888.3127, grad_fn=<SubBackward0>)
obj tensor(-894.1085, grad_fn=<SubBackward0>)
obj tensor(-897.7505, grad_fn=<SubBackward0>)
obj tensor(-888.3608, grad_fn=<SubBackward0>)
obj tensor(-896.8544, grad_fn=<SubBackward0>)
obj tensor(-895.6599, grad_fn=<SubBackward0>)
[iteration 350] time: 0.25 	beta 6.00 	lambda 0.00 training ELBO: -286.3604 (-288.3389)
Active units: 0,1,2,3,4,6,7,8,9
Number of active units: 9/10
obj tensor(-892.1827, grad_fn=<SubBackward0>)
obj tensor(-903.7518, grad_fn=<SubBackward0>)
obj tensor(-898.3904, grad_fn=<SubBackward0>)
obj tensor(-891.6826, grad_fn=<SubBackward0>)
obj tensor(-898.8846, grad_fn=<SubBackward0>)
obj tensor(-890.3170, grad_fn=<SubBackward0>)
obj tensor(-889.1597, grad_fn=<SubBackward0>)
obj tensor(-898.0114, grad_fn=<SubBackward0>)
obj tensor(-895.6675, grad_fn=<SubBackward0>)
obj tensor(-889.8578, grad_fn=<SubBackward0>)
obj tensor(-885.6993, grad_fn=<SubBackward0>)
obj tensor(-884.7906, grad_fn=<SubBackward0>)
obj tensor(-897.1056, grad_fn=<SubBackward0>)
obj tensor(-891.8932, grad_fn=<SubBackward0>)
obj tensor(-886.9361, grad_fn=<SubBackward0>)
obj tensor(-883.0889, grad_fn=<SubBackward0>)
obj tensor(-886.1111, grad_fn=<SubBackward0>)
obj tensor(-886.7758, grad_fn=<SubBackward0>)
obj tensor(-880.8030, grad_fn=<SubBackward0>)
obj tensor(-883.5612, grad_fn=<SubBackward0>)
obj tensor(-888.1929, grad_fn=<SubBackward0>)
obj tensor(-887.6672, grad_fn=<SubBackward0>)
obj tensor(-880.4376, grad_fn=<SubBackward0>)
obj tensor(-884.6249, grad_fn=<SubBackward0>)
obj tensor(-880.3292, grad_fn=<SubBackward0>)
obj tensor(-893.1619, grad_fn=<SubBackward0>)
obj tensor(-881.7461, grad_fn=<SubBackward0>)
obj tensor(-889.6404, grad_fn=<SubBackward0>)
obj tensor(-881.7218, grad_fn=<SubBackward0>)
obj tensor(-875.4717, grad_fn=<SubBackward0>)
obj tensor(-883.8971, grad_fn=<SubBackward0>)
obj tensor(-883.5815, grad_fn=<SubBackward0>)
obj tensor(-873.1259, grad_fn=<SubBackward0>)
obj tensor(-886.4658, grad_fn=<SubBackward0>)
obj tensor(-879.4194, grad_fn=<SubBackward0>)
obj tensor(-878.1022, grad_fn=<SubBackward0>)
obj tensor(-874.8125, grad_fn=<SubBackward0>)
obj tensor(-889.9686, grad_fn=<SubBackward0>)
obj tensor(-883.5873, grad_fn=<SubBackward0>)
obj tensor(-886.5705, grad_fn=<SubBackward0>)
obj tensor(-890.8959, grad_fn=<SubBackward0>)
obj tensor(-882.5319, grad_fn=<SubBackward0>)
obj tensor(-881.0723, grad_fn=<SubBackward0>)
obj tensor(-880.6990, grad_fn=<SubBackward0>)
obj tensor(-878.5804, grad_fn=<SubBackward0>)
obj tensor(-900.6323, grad_fn=<SubBackward0>)
obj tensor(-910.4210, grad_fn=<SubBackward0>)
obj tensor(-895.1517, grad_fn=<SubBackward0>)
obj tensor(-884.8777, grad_fn=<SubBackward0>)
obj tensor(-885.0485, grad_fn=<SubBackward0>)
[iteration 400] time: 0.31 	beta 6.00 	lambda 0.00 training ELBO: -266.4968 (-275.2681)
Active units: 0,1,2,3,4,5,6,7,8,9
Number of active units: 10/10
obj tensor(-886.6144, grad_fn=<SubBackward0>)
obj tensor(-884.5838, grad_fn=<SubBackward0>)
obj tensor(-872.1357, grad_fn=<SubBackward0>)
obj tensor(-878.4642, grad_fn=<SubBackward0>)
obj tensor(-892.8670, grad_fn=<SubBackward0>)
obj tensor(-875.5589, grad_fn=<SubBackward0>)
obj tensor(-892.2242, grad_fn=<SubBackward0>)
obj tensor(-873.0156, grad_fn=<SubBackward0>)
obj tensor(-877.3347, grad_fn=<SubBackward0>)
obj tensor(-873.5876, grad_fn=<SubBackward0>)
obj tensor(-872.1509, grad_fn=<SubBackward0>)
obj tensor(-868.4106, grad_fn=<SubBackward0>)
obj tensor(-882.6145, grad_fn=<SubBackward0>)
obj tensor(-862.8550, grad_fn=<SubBackward0>)
obj tensor(-864.9091, grad_fn=<SubBackward0>)
obj tensor(-866.7985, grad_fn=<SubBackward0>)
obj tensor(-867.9124, grad_fn=<SubBackward0>)
obj tensor(-866.8541, grad_fn=<SubBackward0>)
obj tensor(-859.2679, grad_fn=<SubBackward0>)
obj tensor(-874.0176, grad_fn=<SubBackward0>)
obj tensor(-876.8574, grad_fn=<SubBackward0>)
obj tensor(-859.6937, grad_fn=<SubBackward0>)
obj tensor(-862.0379, grad_fn=<SubBackward0>)
obj tensor(-860.2120, grad_fn=<SubBackward0>)
obj tensor(-869.4265, grad_fn=<SubBackward0>)
obj tensor(-859.7367, grad_fn=<SubBackward0>)
obj tensor(-862.6129, grad_fn=<SubBackward0>)
obj tensor(-865.0827, grad_fn=<SubBackward0>)
obj tensor(-850.2060, grad_fn=<SubBackward0>)
obj tensor(-862.4639, grad_fn=<SubBackward0>)
obj tensor(-851.1586, grad_fn=<SubBackward0>)
obj tensor(-851.2634, grad_fn=<SubBackward0>)
obj tensor(-854.0775, grad_fn=<SubBackward0>)
obj tensor(-855.2015, grad_fn=<SubBackward0>)
obj tensor(-850.4329, grad_fn=<SubBackward0>)
obj tensor(-846.4943, grad_fn=<SubBackward0>)
obj tensor(-855.6676, grad_fn=<SubBackward0>)
obj tensor(-850.1635, grad_fn=<SubBackward0>)
obj tensor(-846.1302, grad_fn=<SubBackward0>)
obj tensor(-853.9449, grad_fn=<SubBackward0>)
obj tensor(-847.7949, grad_fn=<SubBackward0>)
obj tensor(-846.0378, grad_fn=<SubBackward0>)
obj tensor(-855.8979, grad_fn=<SubBackward0>)
obj tensor(-841.1790, grad_fn=<SubBackward0>)
obj tensor(-846.0210, grad_fn=<SubBackward0>)
obj tensor(-844.7787, grad_fn=<SubBackward0>)
obj tensor(-839.6855, grad_fn=<SubBackward0>)
obj tensor(-840.5928, grad_fn=<SubBackward0>)
obj tensor(-850.7631, grad_fn=<SubBackward0>)
obj tensor(-841.5384, grad_fn=<SubBackward0>)
[iteration 450] time: 0.34 	beta 6.00 	lambda 0.00 training ELBO: -226.8633 (-248.0234)
Active units: 0,1,2,4,5,6,8,9
Number of active units: 8/10
obj tensor(-838.2668, grad_fn=<SubBackward0>)
obj tensor(-843.6429, grad_fn=<SubBackward0>)
obj tensor(-842.5891, grad_fn=<SubBackward0>)
obj tensor(-837.5901, grad_fn=<SubBackward0>)
obj tensor(-832.6946, grad_fn=<SubBackward0>)
obj tensor(-836.7232, grad_fn=<SubBackward0>)
obj tensor(-842.3442, grad_fn=<SubBackward0>)
obj tensor(-832.6437, grad_fn=<SubBackward0>)
obj tensor(-836.1355, grad_fn=<SubBackward0>)
obj tensor(-836.9489, grad_fn=<SubBackward0>)
obj tensor(-842.6937, grad_fn=<SubBackward0>)
obj tensor(-834.4036, grad_fn=<SubBackward0>)
obj tensor(-836.7836, grad_fn=<SubBackward0>)
obj tensor(-829.5035, grad_fn=<SubBackward0>)
obj tensor(-834.4255, grad_fn=<SubBackward0>)
obj tensor(-831.8223, grad_fn=<SubBackward0>)
obj tensor(-836.3346, grad_fn=<SubBackward0>)
obj tensor(-829.7606, grad_fn=<SubBackward0>)
